학교명,학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자,제공기관코드,제공기관명,지번주소
동국대학교(WISE),Dongguk University,분교,대학,대학교,사립,47,경상북도,경상북도 경주시 동대로 123(석장동),,38066,,wise.dongguk.ac.kr,054-770-2844,054-770-2846,1978-10-12,2022,2023-12-27,B340014,한국대학교육협의회,경북 경주시 석장동 707
동덕여자대학교,Dongduk Women’s University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",,2748,,www.dongduk.ac.kr,02-940-4000,02-940-4182,1950-05-27,2022,2023-12-27,B340014,한국대학교육협의회,서울 성북구 하월곡동 23-1
동명대학교,Tongmyong University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 남구 신선로 428 (용당동, 동명대학교)",,48520,,www.tu.ac.kr,051-629-1000,051-629-0619,2006-03-01,2022,2023-12-27,B340014,한국대학교육협의회,부산 남구 용당동 485
동서대학교,Dongseo University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 사상구 주례로 47 (주례동, 동서대학교)",,47011,,www.dongseo.ac.kr,051-313-2001,051-313-1046,1992-03-02,2022,2023-12-27,B340014,한국대학교육협의회,부산 사상구 주례동 88
동신대학교,Dongshinuniversity,본교,대학,대학교,사립,46,전라남도,전라남도 나주시 동신대길 67 (대호동),,58245,,www.dsu.ac.kr,061-330-3114,061-330-2909,1986-12-31,2022,2023-12-27,B340014,한국대학교육협의회,전남 나주시 대호동 252
동아대학교,Dong-A University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)",,49315,,www.donga.ac.kr,051-200-6114,051-205-5788,1946-11-01,2022,2023-12-27,B340014,한국대학교육협의회,부산 사하구 하단동 840
동양대학교,Dongyang University,본교,대학,대학교,사립,47,경상북도,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)",,36040,,www.dyu.ac.kr,054-630-1114,054-636-8523,1994-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경북 영주시 풍기읍 산법리 574
동의대학교,Dong-Eui University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교)",,47340,,www.deu.ac.kr,051-890-1114,051-890-1234,1979-01-10,2022,2023-12-27,B340014,한국대학교육협의회,부산 부산진구 가야동 467
디지털서울문화예술대학교,Digital Seoul Culture Arts University,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 서대문구 통일로37길 60 (홍제동, 디지털서울문화예술대학교)",,3645,,www.scau.ac.kr,02-2287-0353,02-6902-0659,2010-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 서대문구 홍제동 318-18
루터대학교,Luther University,본교,대학,대학교,사립,41,경기도,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교)",,17072,,www.ltu.ac.kr,031-679-2300,031-283-1505,1997-12-05,2022,2023-12-27,B340014,한국대학교육협의회,경기 용인시 기흥구 상갈동 17
명지대학교,Myongji University Natural Science Campus,본교,대학,대학교,사립,41,경기도,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스)",,17058,,www.mju.ac.kr,1577-0020,031-332-2459,1948-09-07,2022,2023-12-27,B340014,한국대학교육협의회,경기 용인시 처인구 남동 555
명지대학교,Myongji University Social Science Campus,제2캠퍼,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교)",,3674,,www.mju.ac.kr,1577-0020,02-300-1556,1948-09-07,2022,2023-12-27,B340014,한국대학교육협의회,서울 서대문구 남가좌동 50-3
목원대학교,Mokwon University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 서구 도안북로 88 (도안동, 목원대학교)",,35349,,www.mokwon.ac.kr,042-829-7114,042-825-5020,1965-01-13,2022,2023-12-27,B340014,한국대학교육협의회,대전 서구 도안동 800
목포가톨릭대학교,Mokpo Catholic University,본교,대학,대학교,사립,46,전라남도,"전라남도 목포시 영산로 697 (석현동, 목포가톨릭대학교)",,58607,,www.mcu.ac.kr,061-280-5102,061-280-5109,1999-12-17,2022,2023-12-27,B340014,한국대학교육협의회,전남 목포시 석현동 894-1
배재대학교,Pai Chai University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)",,35345,,www.pcu.ac.kr,042-520-5114,042-533-7354,1980-12-29,2022,2023-12-27,B340014,한국대학교육협의회,대전 서구 도마동 439-6
백석대학교,Baekseok University,본교,대학,대학교,사립,44,충청남도,충청남도 천안시 동남구 백석대학로 1 (안서동),,31065,,www.bu.ac.kr,041-550-9114,041-550-9113,1994-03-01,2022,2023-12-27,B340014,한국대학교육협의회,충남 천안시 동남구 안서동 393
부산가톨릭대학교,Catholic University Of Pusan,본교,대학,대학교,사립,26,부산광역시,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)",,46252,,www.cup.ac.kr,051-515-5811,051-514-1576,1990-12-24,2022,2023-12-27,B340014,한국대학교육협의회,부산 금정구 부곡동 9
부산교육대학교,Busan National University Of Education,본교,대학,교육대학,국립,26,부산광역시,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교)",,47503,,www.bnue.ac.kr,051-500-7141,051-505-4908,1946-09-02,2022,2023-12-27,B340014,한국대학교육협의회,부산 연제구 거제동 87-2
부산대학교,Pusan National University,본교,대학,대학교,국립,26,부산광역시,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",,46241,,www.pusan.ac.kr,051-512-0311,051-512-3368,1946-05-15,2022,2023-12-27,B340014,한국대학교육협의회,부산 금정구 장전동 40
부산외국어대학교,Busan University Of Foreign Studies,본교,대학,대학교,사립,26,부산광역시,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교)",,46234,,www.bufs.ac.kr,051-509-5000,051-509-5005,1982-03-12,2022,2023-12-27,B340014,한국대학교육협의회,부산 금정구 남산동 857-1
부산장신대학교,Busan Presbyterian University,본교,대학,대학교,사립,48,경상남도,경상남도 김해시 김해대로 1894-68 (구산동),,50883,,www.bpu.ac.kr,055-320-2500,055-339-1161,2000-11-29,2022,2023-12-27,B340014,한국대학교육협의회,경남 김해시 구산동 764
사이버한국외국어대학교,Cyber Hankuk University Of Foreign Studies,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교)",,2450,,www.cufs.ac.kr,02-2173-2580,02-966-6183,2004-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 동대문구 이문동 270-1
삼육대학교,Sahmyook University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)",,1795,,www.syu.ac.kr,02-3399-3636,02-979-5318,1962-02-27,2022,2023-12-27,B340014,한국대학교육협의회,서울 노원구 공릉동 26-21
상명대학교,Sangmyung University (Seoul),본교,대학,대학교,사립,11,서울특별시,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",,3016,,www.smu.ac.kr,02-2287-5114,02-2287-0015,1965-01-13,2022,2023-12-27,B340014,한국대학교육협의회,서울 종로구 홍지동 7-1
상명대학교,Sangmyung University,제2캠퍼,대학,대학교,사립,44,충청남도,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스)",,31066,,www.smuc.ac.kr,041-550-5114,041-550-5032,1984-10-06,2022,2023-12-27,B340014,한국대학교육협의회,충남 천안시 동남구 안서동 300
상지대학교,Sangji University,본교,대학,대학교,사립,42,강원특별자치도,강원특별자치도 원주시 상지대길 83 (우산동),,26339,,www.sangji.ac.kr,033-730-0114,033-745-2433,1955-06-10,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 원주시 우산동 660
서강대학교,Sogang University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",,4107,,www.sogang.ac.kr,02-705-8114,02-705-8112,1960-04-18,2022,2023-12-27,B340014,한국대학교육협의회,서울 마포구 신수동 1-1
서경대학교,Seokyeong University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교)",,2713,,www.skuniv.ac.kr,02-940-7114,02-919-0345,1992-09-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 성북구 정릉동 산 16-1
서남대학교,Seonam University,본교,대학,대학교,사립,45,전라북도,"전라북도 남원시 춘향로 439 (광치동, 서남대학교)",,55724,,www.seonam.ac.kr,063-620-0031,063-620-0113,1991-02-28,2022,2023-12-27,B340014,한국대학교육협의회,전북특별자치도 남원시 광치동 산 223
서남대학교,Seonam University,제2캠퍼,대학,대학교,사립,44,충청남도,"충청남도 아산시 송악면 평촌길 7-111 (평촌리, 서남대학교)",,31556,,asan.seonam.ac.kr,063-620-0031,063-620-0113,2002-03-08,2022,2023-12-27,B340014,한국대학교육협의회,충남 아산시 송악면 평촌리 348-9
서울과학기술대학교,Seoul National University Of Science And Technology,본교,대학,대학교,국립,11,서울특별시,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교)",,1811,,www.seoultech.ac.kr,02-970-6114,02-970-6088,2012-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 노원구 공릉동 172
서울교육대학교,Seoul National University Of Education,본교,대학,교육대학,국립,11,서울특별시,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교)",,6639,,www.snue.ac.kr,02-3475-2114,02-581-7711,1946-05-22,2022,2023-12-27,B340014,한국대학교육협의회,서울 서초구 서초동 1650
서울기독대학교,Seoul Christian University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교)",,3422,,www.scu.ac.kr,02-380-2500,02-380-2535,1997-12-05,2022,2023-12-27,B340014,한국대학교육협의회,서울 은평구 신사동 1-19
서울대학교,Seoul National University,본교,대학,대학교,국립대법,11,서울특별시,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",,8826,,www.snu.ac.kr,02-880-5114,02-885-5272,1946-08-22,2022,2023-12-27,B340014,한국대학교육협의회,서울 관악구 신림동 산 56-1
서울디지털대학교,Seoul Digital University,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 강서구 공항대로 424 (화곡동, 서울디지털대학교)",,7654,,www.sdu.ac.kr,02-2128-3096,02-2128-3006,2001-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 강서구 화곡동 1107-2
서울사이버대학교,Seoul Cyber University,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 강북구 솔매로49길 60 (미아동, 서울사이버대학교)",,1133,,www.iscu.ac.kr,02-944-5000,02-980-2222,2000-11-30,2022,2023-12-27,B340014,한국대학교육협의회,서울 강북구 미아동 193-15
서울시립대학교,University Of Seoul,본교,대학,대학교,공립,11,서울특별시,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)",,2504,,www.uos.ac.kr,02-6490-6114,02-6490-6439,1918-05-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 동대문구 전농동 694
서울신학대학교,Seoul Theological University,본교,대학,대학교,사립,41,경기도,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교)",,14754,,www.stu.ac.kr,032-340-9114,032-349-9400,1959-02-26,2022,2023-12-27,B340014,한국대학교육협의회,경기 부천시 소사구 소사본동 101-1
서울여자대학교,Seoul Women’s University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교)",,1797,,www.swu.ac.kr,02-970-5114,02-3399-2843,1960-12-12,2022,2023-12-27,B340014,한국대학교육협의회,서울 노원구 공릉동 126
서울장신대학교,Seoul Jangsin University,본교,대학,대학교,사립,41,경기도,"경기도 광주시 경안로 145 (경안동, 서울장신대학교)",,12749,,www.sjs.ac.kr,031-799-9113,031-765-1232,1984-12-21,2022,2023-12-27,B340014,한국대학교육협의회,경기 광주시 경안동 219-1
서울한영대학교,Seoul Hanyoung University,본교,대학,대학교,사립,11,서울특별시,서울특별시 구로구 경인로 290-42 (개봉동),,8274,,shyu.ac.kr,02-2669-2200,02-2669-2211,1996-11-11,2022,2023-12-27,B340014,한국대학교육협의회,서울 구로구 개봉동 415-9
서원대학교,Seowon University,본교,대학,대학교,사립,43,충청북도,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교)",,28674,,www.seowon.ac.kr,043-299-8114,043-283-8822,1968-03-09,2022,2023-12-27,B340014,한국대학교육협의회,충북 청주시 서원구 모충동 231
선문대학교,Sun Moon University,본교,대학,대학교,사립,44,충청남도,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교)",,31460,,www.sunmoon.ac.kr,041-530-2114,041-541-7424,1990-03-08,2022,2023-12-27,B340014,한국대학교육협의회,충남 아산시 탕정면 갈산리 100
성균관대학교,Sungkyunkwan University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",,3063,,www.skku.edu,02-760-0114,02-760-1141,1946-09-25,2022,2023-12-27,B340014,한국대학교육협의회,서울 종로구 명륜3가 53-21
성신여자대학교,Sungshin Women’S University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교)",,2844,,www.sungshin.ac.kr,02-920-7114,02-920-2018,1965-01-13,2022,2023-12-27,B340014,한국대학교육협의회,서울 성북구 돈암동 173-1
세명대학교,Semyung University,본교,대학,대학교,사립,43,충청북도,"충청북도 제천시 세명로 65 (신월동, 세명대학교)",,27136,,www.semyung.ac.kr,043-645-1125,043-644-2111,1990-11-28,2022,2023-12-27,B340014,한국대학교육협의회,충북 제천시 신월동 579
세종대학교,Sejong University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 광진구 능동로 209 (군자동, 세종대학교)",,5006,,www.sejong.ac.kr,02-3408-3114,02-3408-3906,1978-10-07,2022,2023-12-27,B340014,한국대학교육협의회,서울 광진구 군자동 98
세종사이버대학교,Sejong Cyber University,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 광진구 군자로 121 (군자동, 세종사이버대학)",,5000,,sjcu.ac.kr/,02-2204-8034,02-2204-8036,2001-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 광진구 군자동 98
세한대학교,Sehan University,본교,대학,대학교,사립,46,전라남도,"전라남도 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교)",,58447,,www.sehan.ac.kr,061-469-1114,061-462-2510,1994-03-10,2022,2023-12-27,B340014,한국대학교육협의회,전남 영암군 삼호읍 산호리 280-1
송원대학교,Songwon University,본교,대학,대학교,사립,29,광주광역시,"광주광역시 남구 송암로 73 (송하동, 송원대학)",,61756,,www.songwon.ac.kr,062-360-5700,062-360-5756,2012-03-01,2022,2023-12-27,B340014,한국대학교육협의회,광주 남구 송하동 365-7
수원가톨릭대학교,Suwon Catholic University,본교,대학,대학교,사립,41,경기도,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교)",,18332,,www.suwoncatholic.ac.kr,031-290-8821,031-290-8899,1984-03-02,2022,2023-12-27,B340014,한국대학교육협의회,경기 화성시 봉담읍 왕림리 220-1
수원대학교,The University Of Suwon,본교,대학,대학교,사립,41,경기도,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교)",,18323,,www.suwon.ac.kr,031-220-2114,02-745-8545,1981-12-26,2022,2023-12-27,B340014,한국대학교육협의회,경기 화성시 봉담읍 와우리 1-2
숙명여자대학교,Sookmyung Women’S University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 용산구 청파로47길 90 (청파동2가, 숙명여자대학교)",,4310,,www.sookmyung.ac.kr/,02-710-9114,02-2077-7481,1938-12-21,2022,2023-12-27,B340014,한국대학교육협의회,서울 용산구 청파동2가 53
순복음총회신학교,Korea Christian College,본교,대학,각종학교(대학),사립,43,충청북도,충청북도 제천시 덕산면 도전로 320 (도전리),,27223,,www.kcc.ac.kr,043-645-5571,043-642-4530,2010-03-08,2022,2023-12-27,B340014,한국대학교육협의회,충북 제천시 덕산면 도전리 486
순천향대학교,Soonchunhyang University,본교,대학,대학교,사립,44,충청남도,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교)",,31538,,www.sch.ac.kr/,041-530-1114,041-542-4615,1978-03-01,2022,2023-12-27,B340014,한국대학교육협의회,충남 아산시 신창면 읍내리 646
숭실대학교,Soongsil University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교)",,6978,,www.ssu.ac.kr,02-820-0114,02-828-7143,1897-10-10,2022,2023-12-27,B340014,한국대학교육협의회,서울 동작구 상도동 511
숭실사이버대학교,Korea Soongsil Cyber University,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 종로구 삼일대로30길 23 (익선동, BIZWELL종로오피스텔)",,3132,,www.kcu.ac,02-708-7700,02-708-7755,2009-03-01,2022,2023-12-27,B340014,한국대학교육협의회,서울 종로구 익선동 34
신라대학교,Silla University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교)",,46958,,www.silla.ac.kr,051-999-5000,051-999-5800,1969-12-27,2022,2023-12-27,B340014,한국대학교육협의회,부산 사상구 괘법동 산 1-23
신한대학교,Shinhan Unvirsity,본교,대학,대학교,사립,41,경기도,"경기도 동두천시 벌마들로40번길 30 (상패동, 신한대학교)",,11340,,www.shinhan.ac.kr/,031-870-2900,031-870-2939,2014-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 동두천시 상패동 233-1
신한대학교,Shinhan University,제2캠퍼,대학,대학교,사립,41,경기도,"경기도 의정부시 호암로 95 (호원동, 신한대학교)",,11644,,www.shinhan.ac.kr/,031-870-3114,031-870-3327,2014-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 의정부시 호원동 117-1
아신대학교,ACTS University,본교,대학,대학교,사립,41,경기도,경기도 양평군 옥천면 경강로 1276,,12508,,www.acts.ac.kr,031-770-7700,031-772-5479,1981-12-26,2022,2023-12-27,B340014,한국대학교육협의회,경기 양평군 옥천면 아신리 산 151-1
아주대학교,Ajou University,본교,대학,대학교,사립,41,경기도,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교)",,16499,,www.ajou.ac.kr,031-219-2114,031-213-5158,1973-03-15,2022,2023-12-27,B340014,한국대학교육협의회,경기 수원시 영통구 원천동 산 5-1
안양대학교,Anyang University,본교,대학,대학교,사립,41,경기도,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교)",,14028,,www.anyang.ac.kr/main.do,031-467-0700,031-467-0778,1948-09-17,2022,2023-12-27,B340014,한국대학교육협의회,경기 안양시 만안구 안양동 708-113
안양대학교,Anyang University,제2캠퍼,대학,대학교,사립,28,인천광역시,"인천광역시 강화군 불은면 중앙로 602-14 (삼성리, 안양대학교강화캠퍼스)",,23038,,www.anyang.ac.kr/main.do,032-930-6000,032-930-6215,1948-09-17,2022,2023-12-27,B340014,한국대학교육협의회,인천 강화군 불은면 삼성리 809-170
연세대학교,Yonsei University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교)",,3722,,www.yonsei.ac.kr,1599-1885,02-2123-8608,1957-01-05,2022,2023-12-27,B340014,한국대학교육협의회,서울 서대문구 신촌동 134
연세대학교(미래),Yonsei University MIRAE Campus,분교,대학,대학교,사립,42,강원특별자치도,강원특별자치도 원주시 흥업면 연세대길 1,,26493,,www.yonsei.ac.kr/wj,033-760-2114,033-762-4332,1977-12-28,2022,2023-12-27,B340014,한국대학교육협의회,강원특별자치도 원주시 흥업면 매지리 1875
영남대학교,Yeungnam University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 대학로 280 (대동, 영남대학교)",,38541,,www.yu.ac.kr,053-810-2114,053-810-2016,1967-12-22,2022,2023-12-27,B340014,한국대학교육협의회,경북 경산시 대동 214-1
영남신학대학교,Youngnam Theological University & Seminary,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교)",,38451,,www.ytus.ac.kr,053-850-0500,053-852-9815,1993-12-17,2022,2023-12-27,B340014,한국대학교육협의회,경북 경산시 진량읍 봉회리 117
영산대학교,Youngsan University,본교,대학,대학교,사립,48,경상남도,경상남도 양산시 주남로 288 (주남동),,50510,,www.ysu.ac.kr,055-380-9114,055-366-4374,2005-12-21,2022,2023-12-27,B340014,한국대학교육협의회,경남 양산시 주남동 산 150
영산대학교,Youngsan University,제2캠퍼,대학,대학교,사립,26,부산광역시,부산광역시 해운대구 반송순환로 142 (반송동),,48015,,www.ysu.ac.kr,051-540-7000,051-543-9347,2005-12-21,2022,2023-12-27,B340014,한국대학교육협의회,부산 해운대구 반송동 248
영산선학대학교,Youngsan University Of Seon Studies,본교,대학,대학교,사립,46,전라남도,전라남도 영광군 백수읍 성지로 1357 (길용리),,57026,,www.youngsan.ac.kr,061-350-6015,061-350-6040,1997-03-03,2022,2023-12-27,B340014,한국대학교육협의회,전남 영광군 백수읍 길용리 26
예수대학교,Jesus University,본교,대학,대학교,사립,45,전라북도,"전라북도 전주시 완산구 서원로 383 (중화산동1가, 예수대학교)",,54989,,www.jesus.ac.kr,063-230-7700,063-286-2216,2003-03-01,2022,2023-12-27,B340014,한국대학교육협의회,전북특별자치도 전주시 완산구 중화산동1가 168-1
예원예술대학교,Yewon Arts University,본교,대학,대학교,사립,45,전라북도,"전라북도 임실군 신평면 창인로 117 (창인리, 예원예술학교)",,55913,,www.yewon.ac.kr,063-640-7114,063-640-7773,2000-03-02,2022,2023-12-27,B340014,한국대학교육협의회,전북특별자치도 임실군 신평면 창인리 271
예원예술대학교,Yewon Arts University,제2캠퍼,대학,대학교,사립,41,경기도,경기도 양주시 은현면 예원대학로 56,,11429,,www.yewon.ac.kr,031-869-0526,031-859-8114,2014-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 양주시 은현면 용암리 784-3
용인대학교,Yong In University,본교,대학,대학교,사립,41,경기도,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교)",,17092,,www.yongin.ac.kr,031-8020-3114,031-332-6479,1953-06-15,2022,2023-12-27,B340014,한국대학교육협의회,경기 용인시 처인구 삼가동 470
우석대학교,Woosuk University,본교,대학,대학교,사립,45,전라북도,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교)",,55338,,www.woosuk.ac.kr,063-290-1114,063-291-9312,1979-05-10,2022,2023-12-27,B340014,한국대학교육협의회,전북특별자치도 완주군 삼례읍 후정리 490
우송대학교,Woosong University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 동구 동대전로 171 (자양동, 우송정보대학)",,34606,,www.wsu.ac.kr,042-630-9600,042-631-2346,1995-03-01,2022,2023-12-27,B340014,한국대학교육협의회,대전 동구 자양동 155-3
울산과학기술원,Ulsan National Institute of Science and Technology,본교,대학,대학교,특별법법,31,울산광역시,"울산광역시 울주군 언양읍 유니스트길 50 (반연리, 울산과학기술원)",,44919,,www.unist.ac.kr,052-217-0114,052-217-1149,2009-03-02,2022,2023-12-27,B340014,한국대학교육협의회,울산 울주군 언양읍 반연리 100
울산대학교,University Of Ulsan,본교,대학,대학교,사립,31,울산광역시,"울산광역시 남구 대학로 93 (무거동, 울산대학교)",,44610,,www.ulsan.ac.kr,052-277-3101,052-277-1534,1970-03-16,2022,2023-12-27,B340014,한국대학교육협의회,울산 남구 무거동 665
원광대학교,Wonkwang University,본교,대학,대학교,사립,45,전라북도,"전라북도 익산시 익산대로 460 (신동, 원광대학교)",,54538,,www.wonkwang.ac.kr,063-850-5114,063-850-6666,1951-09-05,2022,2023-12-27,B340014,한국대학교육협의회,전북특별자치도 익산시 신동 272
위덕대학교,Uiduk University,본교,대학,대학교,사립,47,경상북도,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교)",,38004,,www.uu.ac.kr,054-760-1096,054-760-1059,1995-12-16,2022,2023-12-27,B340014,한국대학교육협의회,경북 경주시 강동면 유금리 525
유원대학교,U1 University,본교,대학,대학교,사립,43,충청북도,충청북도 영동군 영동읍 대학로 310,,29131,,www.U1.ac.kr,043-740-1114,043-740-1029,1993-12-17,2022,2023-12-27,B340014,한국대학교육협의회,충북 영동군 영동읍 설계리 54
을지대학교,Eulji University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스)",,34824,,www.eulji.ac.kr,1899-0001,042-259-1539,1967-03-21,2022,2023-12-27,B340014,한국대학교육협의회,대전 중구 목동 24-14
을지대학교,Eulji University,제2캠퍼,대학,대학교,사립,41,경기도,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교)",,13135,,www.eulji.ac.kr,031-740-7424,031-740-7469,1967-03-21,2022,2023-12-27,B340014,한국대학교육협의회,경기 성남시 수정구 양지동 212
을지대학교,Eulji University,제3캠퍼,대학,대학교,사립,41,경기도,경기도 의정부시 동일로 712 (금오동),,11759,,www.eulji.ac.kr,031-951-3611,031-951-3912,2018-03-01,2022,2023-12-27,B340014,한국대학교육협의회,경기 의정부시 금오동 489
이화여자대학교,Ewha Womans University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교)",,3760,,www.ewha.ac.kr,02-3277-2114,02-3277-3301,1946-08-15,2022,2023-12-27,B340014,한국대학교육협의회,서울 서대문구 대현동 11-1
인제대학교,Inje University,본교,대학,대학교,사립,48,경상남도,"경상남도 김해시 인제로 197 (어방동, 인제대학교)",,50834,,www.inje.ac.kr,055-334-7111,055-334-0712,1979-01-12,2022,2023-12-27,B340014,한국대학교육협의회,경남 김해시 어방동 607
인제대학교,Inje University,제2캠퍼,대학,대학교,사립,26,부산광역시,"부산광역시 부산진구 복지로 75 (개금동, 백병원)",,47392,,www.inje.ac.kr,051-894-3421,051-895-1864,1979-01-12,2022,2023-12-27,B340014,한국대학교육협의회,부산 부산진구 개금동 633-165
인천가톨릭대학교,Incheon Catholic University,본교,대학,대학교,사립,28,인천광역시,"인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리, 인천가톨릭대학교)",,23058,,www.iccu.ac.kr,032-930-8000,032-937-8118,1996-03-01,2022,2023-12-27,B340014,한국대학교육협의회,인천 강화군 양도면 도장리 495
인천가톨릭대학교,Incheon Catholic University,제2캠퍼,대학,대학교,사립,28,인천광역시,인천광역시 연수구 송도문화로120번길 20 (송도동),,21987,,www.iccu.ac.kr,032-830-7000,032-830-7025,2010-03-01,2022,2023-12-27,B340014,한국대학교육협의회,인천 연수구 송도동 193-3
인천대학교,Incheon National University,본교,대학,대학교,국립대법,28,인천광역시,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교)",,22012,,www.inu.ac.kr/,032-835-8114,032-835-0713,1979-03-12,2022,2023-12-27,B340014,한국대학교육협의회,인천 연수구 송도동 12-1
인하대학교,Inha University,본교,대학,대학교,사립,28,인천광역시,인천광역시 미추홀구 인하로 100(용현동),,22212,,www.inha.ac.kr,032-860-7114,032-863-1333,1954-04-24,2022,2023-12-27,B340014,한국대학교육협의회,인천 미추홀구 용현동 253
장로회신학대학교,Presbyterian University & Theological Seminary,본교,대학,대학교,사립,11,서울특별시,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교)",,4965,,www.puts.ac.kr,02-450-0700,02-452-3460,1961-02-02,2022,2023-12-27,B340014,한국대학교육협의회,서울 광진구 광장동 353
